自分	じぶん
光線	こうせん
日当たり	ひあたり
自生	じせい
組合せ	くみあわせ
冬場	ふゆば
口頭	こうとう
社交	しゃこう
心中	しんじゅう|しんちゅう
手引き	てびき
交番	こうばん
市町	しちょう
文体	ぶんたい
切り口	きりくち
近道	ちかみち
茶道	さどう|ちゃどう
ただ今	ただいま
首長	しゅちょう
前夜	ぜんや
文科	ぶんか|もんか
通気	つうき
社外	しゃがい
丸太	まるた
母体	ぼたい
近日	きんじつ
本国	ほんごく
朝方	あさがた
何時	いつ|なんどき
回帰	かいき
汽車	きしゃ|ぎしゃ
太り	ふとり|ぶとり
親しい	したしい
図形	ずけい
道内	どうない
年明け	としあけ|ねんあけ
合せ	がっせ|あわせ
口内	こうない
羽目	はめ|ばめ
黒木	くろき
光り	ひかり
番長	ばんちょう
思ふ	おもふ
名店	めいてん
火曜	かよう
言い分	いいぶん
男前	おとこまえ
黒色	くろいろ|こくしょく
羽毛	うもう
細やか	こまやか|ささやか|ほそやか
門前	もんぜん
同月	どうげつ
地中	ちちゅう
道理	どうり
親分	おやぶん
川原	かわら|がわら
音頭	おんど
年長	ねんちょう
風合い	ふうあい
用心	ようじん
日食	にっしょく
月光	げっこう
風車	ふうしゃ|かざぐるま
計り	ばかり|はかり
方角	ほうがく
室長	しつちょう
行き来	いきき|ゆきき
千秋	せんしゅう
親王	しんのう
歩む	あゆむ
海中	かいちゅう
分かん	わかん
谷間	たにま|たにあい
半月	はんつき|はんげつ
外れる	はずれる
少子	しょうし
食道	しょくどう
春休み	はるやすみ
太刀	たち|だち
通りすがり	とおりすがり
当番	とうばん
色紙	いろがみ|しきし
兄妹	きょうだい
朝市	あさいち
本会	ほんかい
点字	てんじ
中高	ちゅうこう|なかだか
白紙	はくし|しらかみ
学内	がくない
鳴らす	ならす
知見	ちけん
読み上げ	よみあげ
走れる	はしれる
目の当たり	まのあたり|めのあたり
体外	たいがい
元来	がんらい
古道	こどう|ふるみち
雪山	ゆきやま
本丸	ほんまる
国歌	こっか
出社	しゅっしゃ
明言	めいげん
一新	いっしん
当人	とうにん
売場	うりば
直下	ちょっか|じきげ
台頭	たいとう
後ほど	のちほど
家出	いえで
一線	いっせん
来春	らいはる|らいしゅん
野中	のなか
金星	きんぼし
何れ	いずれ|どれ
岩石	がんせき
歩ける	あるける
作風	さくふう
書き下ろし	かきおろし
分かち	わかち
中高生	ちゅうこうせい
西方	さいほう|せいほう|にしがた
夏バテ	なつばて
心強い	こころづよい
一丸	いちがん
台地	だいち
昼前	ひるまえ
場内	じょうない
八雲	やくも
作中	さくちゅう
回生	かいせい
止ん	やん|とまん
本心	ほんしん
母ちゃん	かあちゃん
西南	せいなん
切り上げ	きりあげ
大門	だいもん|おおもん
売り出し	うりだし
万引き	まんびき
肉食	にくしょく|にくじき
山門	さんもん
大当たり	おおあたり
矢先	やさき
冬休み	ふゆやすみ
見合わせ	みあわせ
園長	えんちょう
歌人	かじん|うたびと
朝顔	あさがお
自前	じまえ
組長	くみちょう
細心	さいしん
文言	もんごん|ぶんげん
今ひとつ	いまひとつ
書体	しょたい
寺社	じしゃ
朝夕	あさゆう|ちょうせき
明け方	あけがた
国分	こくぶん
行楽	こうらく
細長い	ほそながい
晴れる	はれる
昼夜	ちゅうや|ひるよる
空海	くうかい
書き出し	かきだし
食肉	しょくにく
北海	ほっかい
先行き	さきゆき
何せ	なにせ|なんせ
顔立ち	かおだち
耳元	みみもと
北国	きたぐに|ほっこく
太子	たいし
市電	しでん
一心	いっしん
番線	ばんせん
春先	はるさき
外道	げどう
気長	きなが
人道	じんどう
遠山	えんざん|とおやま
生計	せいけい
止む	やむ
野原	のはら
長らく	ながらく
空き地	あきち
出家	しゅっけ
晴れ間	はれま
前もって	まえもって
春秋	しゅんじゅう|はるあき
同国	どうこく
名声	めいせい
切り出し	きりだし
言い回し	いいまわし
下回る	したまわる
明かす	あかす
内海	うちうみ|ないかい
口当たり	くちあたり
道楽	どうらく
前月	ぜんげつ
大丸	おおまる
見聞	けんぶん|けんもん
弱体	じゃくたい
多し	おおし
多角	たかく
分り	わかり
近づける	ちかづける
同い年	おないどし
年会	ねんかい
点火	てんか|とぼし
名高い	なだかい
台車	だいしゃ
下野	げや
原生	げんせい
太一	たいいつ|たいち
遠出	とおで
同心	どうしん
花道	はなみち|かどう
一門	いちもん
売上げ	うりあげ
公用	こうよう
小国	しょうこく
母国	ぼこく
野山	のやま
親知らず	おやしらず
正門	せいもん
書名	しょめい
西京	さいきょう
大方	おおかた|たいほう|だいほう
天理	てんり
大黒	だいこく
会食	かいしょく
同校	どうこう
食す	しょくす
山里	やまざと
人魚	にんぎょ
見切り	みきり
校歌	こうか
今春	こんしゅん
市道	しどう
千鳥	ちどり
手記	しゅき
年来	ねんらい
まつ毛	まつげ
里帰り	さとがえり
上戸	じょうご
野草	やそう
帰れる	かえれる
山寺	やまでら
元本	がんぽん
馬力	ばりき
本紙	ほんし
気体	きたい
交わす	かわす
見晴らし	みはらし
売国	ばいこく
今夏	こんか
親近	しんきん
強大	きょうだい
顔つき	かおつき
白米	はくまい
家中	かちゅう
手羽	てば
先方	せんぽう|さきがた
教頭	きょうとう
教え子	おしえご
記す	しるす|きす
公言	こうげん
小切手	こぎって
通夜	つや
月夜	つきよ|づきよ
市外	しがい
大海	たいかい
後回し	あとまわし
半生	はんせい|はんしょう|はんなま
黒毛	くろげ
後見	こうけん|うしろみ
四角い	しかくい|しかきい
春風	しゅんぷう|はるかぜ
雪国	ゆきぐに
風通し	かぜとおし|かざとおし
父子	ちちこ|ふし
秋冬	あきふゆ|しゅうとう
読本	とくほん|よみほん|どくほん
間合い	まあい
心当たり	こころあたり
近海	きんかい
引き金	ひきがね
食える	くえる
一室	いっしつ
公道	こうどう
遠回り	とおまわり
弱気	よわき
茶室	ちゃしつ
後手	うしろで|ごて
ひと言	ひとこと
理工	りこう
引数	ひきすう
週休	しゅうきゅう
ひと時	ひととき
出来高	できだか
記名	きめい
顔ぶれ	かおぶれ
場外	じょうがい
大通	おおどおり|だいつう
行きつけ	ゆきつけ|いきつけ
社寺	しゃじ
太る	ふとる
町家	まちや|ちょうか
前売り	まえうり
後場	ごば
高見	こうけん
入室	にゅうしつ
大船	おおぶね
日当	にっとう
父ちゃん	とうちゃん
西国	さいこく|さいごく
近親	きんしん
目元	めもと
高音	こうおん|たかね
船内	せんない
光明	こうみょう
国公立	こっこうりつ
公文	こうぶん|くもん
小声	こごえ
引き立て	ひきたて
光子	こうし
番台	ばんだい
自室	じしつ
早春	そうしゅん
線引き	せんびき
毛糸	けいと
出国	しゅっこく
今秋	こんしゅう
出頭	しゅっとう
内地	ないち
当直	とうちょく
北風	きたかぜ|ほくふう
見せ場	みせば
丸見え	まるみえ
絵図	えず
売れ行き	うれゆき
原本	げんぽん
高地	こうち
計る	はかる
風間	かざま
出船	しゅっせん|でふね|でぶね
通年	つうねん
千切り	ちぎり|せんぎり
小雪	こゆき|しょうせつ
小高い	こだかい
考古	こうこ
自公	じこう
切に	せつに
太古	たいこ
船体	せんたい
土間	どま
引き合い	ひきあい
弱火	よわび
本道	ほんどう
算入	さんにゅう
四角	しかく
秋月	しゅうげつ
東南	とうなん
万里	ばんり
弓道	きゅうどう
東上	とうじょう
帰す	かえす|きす
上書き	うわがき
数理	すうり
海道	かいどう
体長	たいちょう
読み書き	よみかき
立て直し	たてなおし
合える	あえる
野心	やしん
海原	うなばら
小春	こはる
自白	じはく
耳鳴り	みみなり
同店	どうてん
直角	ちょっかく
音読	おんどく
歌える	うたえる
広める	ひろめる
引当	ひきあて
見地	けんち
木戸	きど
車台	しゃだい
読み手	よみて
線形	せんけい
赤羽	あかはね
食らう	くらう
肉まん	にくまん
時雨	しぐれ
鳴子	なるこ
茶の間	ちゃのま
戸数	こすう
親交	しんこう
細道	ほそみち
当会	とうかい
麦茶	むぎちゃ
強める	つよめる
公売	こうばい
力作	りきさく
買い方	かいかた
買い手	かいて
左記	さき
船頭	せんどう
本市	ほんし
何だかんだ	なんだかんだ
切れ目	きれめ
思い思い	おもいおもい
名画	めいが
草食	そうしょく
絵馬	えま
王家	おうけ
新道	しんどう|しんみち
生長	せいちょう
小心	しあおしん|しょうしん
書き手	かきて
強まる	つよまる
秋刀魚	さんま
一声	いっせい|ひとこえ
赤毛	あかげ
母音	ぼいん|ぼおん
中道	ちゅうどう|なかみち
色白	いろじろ
分校	ぶんこう
合算	がっさん
小道	こみち
書き直し	かきなおし
野手	やしゅ
公家	くげ
新月	しんげつ
寺町	てらまち
東国	とうごく
船上	せんじょう
金時	きんとき
出直し	でなおし
交じり	まじり
王室	おうしつ
昼下がり	ひるさがり
高遠	こうえん
古木	こぼく
家人	かじん|けにん
手直し	てなおし
前場	ぜんば
立会い	たちあい
